Language, Speaker, Word, POS
1,1, Ugh, INTERJ
1,1, finals, NOUN
1,1, next, ADJ
1,1, week, NOUN
1,1, already, ADV
2,1, 说真的, ADV
2,1, 我不敢, VERB
2,1, 不, ADV
2,1, 去, PREP
2,1, 相信, VERB
2,1, 这, CONJ
2,1, 会, PRON
2,1, 发生, VERB
2,1, 像, PREP
2,1, 这样, PRON
1,2, Tell, VERB
1,2, me, PRON
1,2, about, PREP
1,2, it, PRON
2,2, 看起来, PRON
2,2, 像, VERB
2,2, 我们, PRON
2,2, 刚, VERB
2,2, 到, VERB
2,2, 而, CONJ
2,2, 现在, ADV
2,2, 就, VERB
2,2, 这样, ADV
1,2, bam, INTERJ
1,2, Finals, NOUN
1,2, week, NOUN
1,1, Exactly, ADV
1,1, And, CONJ
1,1, I, PRON
1,1, have, VERB
1,1, three, DET
1,1, exams, NOUN
1,1, in, PREP
1,1, like, PREP
1,1, two, DET
1,1, days, NOUN
2,1, 我的, DET
2,1, 大脑, NOUN
2,1, 感觉, VERB
2,1, 好像, NOUN
2,1, 它, PRON
2,1, 要, VERB
1,2, Oh, INTERJ
1,2, god, NOUN
1,2, don't, VERB
1,2, even, ADV
1,2, remind, VERB
1,2, me, PRON
2,2, 我有, PRON
2,2, 两场, VERB
2,2, 连, DET
2,2, 在, PREP
2,2, 一起, DET
2,2, 在周四, NOUN
2,2, 我, NOUN
2,2, 已经, PRON
2,2, 想象到, VERB
2,2, 盯着, ADV
2,2, 那些, VERB
2,2, 问题, DET
2,2, 却, NOUN
2,2, 什么也, PREP
2,2, 不懂, PRON
1,1, Seriously, VERB
1,1, And, ADV
1,1, this, CONJ
1,1, physics, DET
1,1, chapter, NOUN
2,1, 每, NOUN
2,1, 次, DET
2,1, 我, NOUN
2,1, 重读, CONJ
2,1, 它, PRON
2,1, 就, PRON
2,1, 好像, VERB
2,1, 那些, PRON
2,1, 词, VERB
2,1, 在, CONJ
2,1, 主动地, DET
2,1, 重新排列, NOUN
2,1, 来, PRON
2,1, 让, VERB
2,1, 意思, ADV
2,1, 更, PREP
2,1, 少, VERB
1,2, I, ADV
1,2, know, PREP
1,2, Organic, NOUN
1,2, chemistry, PRON
1,2, is, VERB
1,2, the, ADJ
1,2, same, NOUN
2,2, 所有, VERB
2,2, 这些, DET
2,2, 反应, ADJ
2,2, 简直, DET
2,2, 是, DET
1,2, ugh, NOUN
2,2, 昨, VERB
2,2, 晚, ADV
2,2, 我, INTERJ
2,2, 真的, DET
2,2, 梦见, NOUN
2,2, 我, ADJ
2,2, 是, VERB
2,2, 一个, ADV
2,2, 分子, VERB
1,2, It, CONJ
1,2, was, VERB
1,2, not, DET
1,2, fun, NOUN
1,1, No, PRON
1,1, way, VERB
1,1, I'd, ADV
1,1, take, ADJ
1,1, quantum, INTERJ
1,1, physics, NOUN
1,1, weirdness, PRON
1,1, over, VERB
1,1, o-chem, ADJ
1,1, nightmares, NOUN
1,1, any, NOUN
1,1, day, PREP
2,1, 至少, NOUN
2,1, 这个, NOUN
2,1, 怪异, DET
2,1, 还算, NOUN
2,1, 理论上, PREP
2,1, 有趣, ADV
1,2, Ha, DET
1,2, Easy, NOUN
1,2, for, ADV
1,2, you, NOUN
1,2, to, VERB
1,2, say, ADV
2,2, 试试, ADJ
2,2, 解释, INTERJ
2,2, 立体化学, ADJ
2,2, 当, PREP
2,2, 你, PRON
2,2, 只睡了, PREP
2,2, 三, VERB
2,2, 小时, VERB
1,2, It's, VERB
1,2, a, DET
1,2, special, NOUN
1,2, kind, CONJ
1,2, of, PRON
1,2, torture, VERB
1,1, Don't, VERB
1,1, even, DET
1,1, get, NOUN
1,1, me, PRON
1,1, started, VERB
1,1, on, VERB
1,1, sleep, DET
2,1, 我, NOUN
2,1, 觉得, PRON
2,1, 我的, VERB
2,1, 社交, VERB
2,1, 生活, ADJ
2,1, 已经, NOUN
2,1, 正式, PREP
2,1, 进入, NOUN
2,1, 冬眠, VERB
2,1, 大概, ADV
2,1, 到, VERB
2,1, 六月, PRON
1,1, Maybe, VERB
1,1, July, PREP
1,2, Tell, NOUN
1,2, me, PRON
1,2, about, VERB
1,2, it, CONJ
2,2, 我, DET
2,2, 昨天, NOUN
2,2, 在走廊, ADJ
2,2, 那头, VERB
2,2, 碰到, ADV
2,2, 莎拉, VERB
2,2, 然后, PREP
2,2, 我, NOUN
2,2, 花了, PREP
2,2, 整整, ADV
2,2, 一分钟, NOUN
2,2, 才, ADV
2,2, 想起, VERB
2,2, 她的, PRON
2,2, 名字, PREP
1,2, We, PRON
1,2, used, VERB
1,2, to, PREP
1,2, get, VERB
1,2, coffee, NOUN
1,2, all, DET
1,2, the, DET
1,2, time, NOUN
1,1, Right, ADV
1,1, It's, PRON
1,1, like, PREP
1,1, our, DET
1,1, brains, NOUN
1,1, have, VERB
1,1, just, ADV
1,1, deleted, VERB
1,1, everything, PRON
1,1, non-essential, ADJ
2,1, 那么, ADV
2,1, 你, PRON
2,1, 至少, VERB
2,1, 考虑过, PREP
2,1, 一个, ADV
2,1, 应对, VERB
2,1, 策略, PREP
2,1, 来处理, DET
2,1, 所有, NOUN
2,1, 这些吗, NOUN
1,2, Kind, PREP
1,2, of, DET
1,2, I, PRON
